"RefDes","Value","Name","Part"
"C1","22uF 35V","CAP_0805","https://www.digikey.ca/product-detail/en/tdk-corporation/C2012X5R1V226M125AC/445-14428-1-ND/3956094"
"C2","1uF 35V","CAP_0805","https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL21B105KBFNFNE/1276-2928-1-ND/3891014"
"C3","100nF 35V","CAP_0805","https://www.digikey.ca/product-detail/en/yageo/CC0805ZRY5V9BB104/311-1361-1-ND/2103145"
"C4","100nF 35V","CAP_0805","https://www.digikey.ca/product-detail/en/yageo/CC0805ZRY5V9BB104/311-1361-1-ND/2103145"
"C5","22uF 35V","CAP_0805","https://www.digikey.ca/product-detail/en/tdk-corporation/C2012X5R1V226M125AC/445-14428-1-ND/3956094"
"C6","22uF 35V","CAP_0805","https://www.digikey.ca/product-detail/en/tdk-corporation/C2012X5R1V226M125AC/445-14428-1-ND/3956094"
"C7","22uF 35V","CAP_0805","https://www.digikey.ca/product-detail/en/tdk-corporation/C2012X5R1V226M125AC/445-14428-1-ND/3956094"
"C8","22uF 35V","CAP_0805","https://www.digikey.ca/product-detail/en/tdk-corporation/C2012X5R1V226M125AC/445-14428-1-ND/3956094"
"C9","1uF 35V","CAP_0805","https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL21B105KBFNFNE/1276-2928-1-ND/3891014"
"C10","22uF 35V","CAP_0805","https://www.digikey.ca/product-detail/en/tdk-corporation/C2012X5R1V226M125AC/445-14428-1-ND/3956094"
"C11","1uF 35V","CAP_0805","https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL21B105KBFNFNE/1276-2928-1-ND/3891014"
"C12","1uF 35V","CAP_0805","https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL21B105KBFNFNE/1276-2928-1-ND/3891014"
"C13","1uF 35V","CAP_0805","https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL21B105KBFNFNE/1276-2928-1-ND/3891014"
"C14","2u2F 35V","CAP_0805","https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL21A225KBFNNNE/1276-6702-1-ND/5961561"
"C15","2u2F 35V","CAP_0805","https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL21A225KBFNNNE/1276-6702-1-ND/5961561"
"C16","1uF 35V","CAP_0805","https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL21B105KBFNFNE/1276-2928-1-ND/3891014"
"C17","220nF 35v","CAP_0805","https://www.digikey.ca/product-detail/en/wurth-electronics-inc/885012207100/732-7675-1-ND/5454302"
"C18","2u2F 35V","CAP_0805","https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL21A225KBFNNNE/1276-6702-1-ND/5961561"
"C19","2u2F 35V","CAP_0805","https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL21A225KBFNNNE/1276-6702-1-ND/5961561"
